input,output
intent: salute location: bathroom filter: wearing person: white t shirt intent: answer content: question,navigate to bathroom -> greet_person white t shirt with wearing at bathroom -> navigate to operator -> answer_question
intent: meet location: living room person: Rosa intent: answer content: quiz,navigate to living room -> meet_person Rosa at living room -> navigate to operator -> answer_question
intent: bring object: glass location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver glass to me
intent: say location: garage person: Frank intent: follow location: entrance,navigate to garage -> greet_person Frank at garage -> navigate to entrance -> guide_person to entrance
intent: tell object: mugs location: on the shelf attribute: lightest,navigate to on the shelf -> detect_object lightest mugs at on the shelf -> describe_property -> navigate to operator -> tell
intent: navigate location: drinks bar intent: find object: glasses intent: get intent: place location: on the counter,navigate to drinks bar -> detect_object glasses -> grasp -> navigate to on the counter -> place at on the counter
intent: tell location: on the side table attribute: largest,navigate to on the side table -> detect_object largest at on the side table -> describe_property -> navigate to operator -> tell
intent: grasp object: glasses location: desk intent: place location: on the side table,navigate to desk -> grasp -> navigate to on the side table -> place at on the side table
intent: tell location: garden content: gesture person: person,navigate to garden -> tell gesture
intent: follow location: terrace person: Ingrid,navigate to terrace -> guide_person Ingrid to terrace
intent: tell location: on the counter attribute: biggest,navigate to on the counter -> detect_object biggest at on the counter -> describe_property -> navigate to operator -> tell
intent: meet location: desk person: Karen intent: locate location: garage,navigate to desk -> meet_person Karen at desk -> navigate to garage
intent: answer location: closet filter: waving content: question person: person,navigate to closet -> detect_person with pose waving at closet -> navigate to operator -> answer_question
intent: locate location: hallway filter: pointing person: person intent: lead location: bedroom,navigate to hallway -> detect_person with pose pointing at hallway -> navigate to bedroom -> guide_person to bedroom
intent: tell location: on the desk attribute: heaviest,navigate to on the desk -> detect_object heaviest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: drinks bar filter: wearing person: blue sweaters,navigate to drinks bar -> detect_person with wearing at drinks bar -> describe_property -> navigate to operator -> tell
intent: follow location: patio filter: pointing person: person,navigate to patio -> guide_person person to patio
intent: tell location: entrance filter: wearing person: white shirts,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: meet location: entrance person: Frank intent: look location: workshop,navigate to entrance -> meet_person Frank at entrance -> navigate to workshop
intent: look location: dining area filter: right arm person: person intent: say content: day,navigate to dining area -> detect_person with right arm at dining area -> greet_person
intent: answer location: workshop filter: pointing content: question person: person,navigate to workshop -> detect_person with pose pointing at workshop -> navigate to operator -> answer_question
intent: tell object: mugs location: on the side table attribute: lightest,navigate to on the side table -> detect_object lightest mugs at on the side table -> describe_property -> navigate to operator -> tell
intent: meet location: bedroom person: Charlie intent: look location: storage room,navigate to bedroom -> meet_person Charlie at bedroom -> navigate to storage room
intent: tell location: entrance content: pose person: person,navigate to entrance -> tell pose
intent: give object: plate location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver plate to me
intent: introduce location: drinks bar filter: wearing person: yellow t shirt intent: say,navigate to drinks bar -> introduce_person -> greet_person
intent: go location: balcony intent: meet person: Charlie intent: answer content: question,navigate to balcony -> meet_person Charlie -> navigate to operator -> answer_question
intent: follow location: entrance filter: sitting person: person,navigate to entrance -> guide_person person to entrance
intent: tell location: on the side table attribute: largest,navigate to on the side table -> detect_object largest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell object: remote location: on the counter,navigate to on the counter -> count remote at on the counter -> navigate to operator -> tell
intent: lead location: garden table filter: wearing person: red blouse,navigate to garden table -> guide_person red blouse to garden table
intent: bring object: pen location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver pen to me
intent: take location: workshop filter: sitting person: person,navigate to workshop -> grasp
intent: answer location: garden filter: pointing content: question person: person,navigate to garden -> detect_person with pose pointing at garden -> navigate to operator -> answer_question
intent: tell location: garage content: name person: person,navigate to garage -> tell name
intent: tell object: glass location: on the desk,navigate to on the desk -> count glass at on the desk -> navigate to operator -> tell
intent: go location: hallway intent: find filter: standing person: person intent: say content: your teams name,navigate to hallway -> detect_person with pose standing -> greet_person
intent: give object: tray location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver tray to me
intent: tell object: toy location: on the counter,navigate to on the counter -> count toy at on the counter -> navigate to operator -> tell
intent: salute location: balcony person: Charlie intent: follow location: drinks bar,navigate to balcony -> greet_person Charlie at balcony -> navigate to drinks bar -> guide_person to drinks bar
intent: salute location: patio filter: wearing person: yellow blouse intent: escort location: bathroom,navigate to patio -> greet_person yellow blouse with wearing at patio -> navigate to bathroom -> guide_person to bathroom
intent: look object: magazines location: bedroom intent: fetch intent: deliver location: bedroom filter: lying recipient: person,navigate to bedroom -> detect_object magazines at bedroom -> navigate to bedroom -> deliver magazines to person
intent: tell object: plates location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest plates at on the shelf -> describe_property -> navigate to operator -> tell
intent: give object: magazine location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver magazine to me
intent: locate object: notebook location: bedroom intent: take intent: put location: on the counter,navigate to bedroom -> detect_object notebook at bedroom -> grasp -> navigate to on the counter -> place at on the counter
intent: escort location: bedroom person: Alice,navigate to bedroom -> guide_person Alice to bedroom
intent: tell location: storage room content: gesture person: person,navigate to storage room -> tell gesture
intent: tell location: bedroom filter: waving,navigate to bedroom -> detect_person with pose waving at bedroom -> describe_property -> navigate to operator -> tell
intent: say location: closet person: Sam intent: follow location: balcony,navigate to closet -> greet_person Sam at closet -> navigate to balcony -> guide_person to balcony
intent: answer location: laundry room filter: pointing content: quiz person: person,navigate to laundry room -> detect_person with pose pointing at laundry room -> navigate to operator -> answer_question
intent: introduce location: laundry room person: Frank intent: tell content: day,navigate to laundry room -> introduce_person -> tell day
intent: say location: workshop filter: wearing person: gray blouse intent: lead location: office,navigate to workshop -> greet_person gray blouse with wearing at workshop -> navigate to office -> guide_person to office
intent: bring object: cup location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver cup to me
intent: tell location: bathroom filter: wearing person: blue coats,navigate to bathroom -> detect_person with wearing at bathroom -> describe_property -> navigate to operator -> tell
intent: look object: snack location: workshop intent: take intent: place location: on the desk,navigate to workshop -> detect_object snack at workshop -> grasp -> navigate to on the desk -> place at on the desk
intent: tell object: bottles location: on the shelf attribute: biggest,navigate to on the shelf -> detect_object biggest bottles at on the shelf -> describe_property -> navigate to operator -> tell
intent: navigate location: counter intent: find filter: sitting person: person intent: follow location: storage room,navigate to counter -> detect_person with pose sitting -> navigate to storage room -> guide_person to storage room
intent: answer location: garage filter: left arm content: question person: person,navigate to garage -> detect_person with left arm at garage -> navigate to operator -> answer_question
intent: tell object: books location: on the garden table attribute: lightest,navigate to on the garden table -> detect_object lightest books at on the garden table -> describe_property -> navigate to operator -> tell
intent: bring object: mug location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver mug to me
intent: tell object: snack location: on the desk,navigate to on the desk -> count snack at on the desk -> navigate to operator -> tell
intent: greet location: storage room filter: wearing person: yellow sweater intent: take location: kitchen,navigate to storage room -> greet_person yellow sweater with wearing at storage room -> navigate to kitchen -> grasp
intent: tell object: snack location: on the desk,navigate to on the desk -> count snack at on the desk -> navigate to operator -> tell
intent: tell location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the side table attribute: heaviest,navigate to on the side table -> detect_object heaviest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell object: snack location: on the garden table,navigate to on the garden table -> count snack at on the garden table -> navigate to operator -> tell
intent: go location: garage intent: find object: phone intent: grasp intent: put location: on the counter,navigate to garage -> detect_object phone -> grasp -> navigate to on the counter -> place at on the counter
intent: take object: pen location: shelf intent: deliver recipient: me,navigate to shelf -> grasp -> deliver pen to me
intent: tell location: on the garden table attribute: thinnest,navigate to on the garden table -> detect_object thinnest at on the garden table -> describe_property -> navigate to operator -> tell
intent: follow location: terrace person: Olivia,navigate to terrace -> guide_person Olivia to terrace
intent: meet location: bedroom person: Sam intent: say content: day,navigate to bedroom -> meet_person Sam at bedroom -> greet_person
intent: salute location: hallway person: Karen intent: say content: day,navigate to hallway -> greet_person Karen at hallway -> greet_person
intent: tell object: remotes location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest remotes at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell object: can location: on the garden table,navigate to on the garden table -> count can at on the garden table -> navigate to operator -> tell
intent: find object: magazine location: hallway intent: grasp intent: deliver location: hallway recipient: Tom,navigate to hallway -> detect_object magazine at hallway -> grasp -> navigate to hallway -> deliver magazine to Tom
intent: take object: plates location: side table intent: bring location: storage room recipient: Jack,navigate to side table -> grasp -> navigate to storage room -> deliver plates to Jack
intent: meet location: bedroom person: Grace intent: look location: living room,navigate to bedroom -> meet_person Grace at bedroom -> navigate to living room
intent: give object: tablet location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver tablet to me
intent: bring object: magazine location: desk recipient: me,navigate to desk -> grasp -> navigate to desk -> deliver magazine to me
intent: answer location: kitchen filter: pointing content: quiz person: person,navigate to kitchen -> detect_person with pose pointing at kitchen -> navigate to operator -> answer_question
intent: find location: garden filter: lying person: person intent: answer content: quiz,navigate to garden -> detect_person with pose lying at garden -> navigate to operator -> answer_question
intent: tell location: laundry room filter: wearing person: gray blouses,navigate to laundry room -> detect_person with wearing at laundry room -> describe_property -> navigate to operator -> tell
intent: tell location: living room content: name person: person,navigate to living room -> tell name
intent: salute location: garage filter: wearing person: yellow shirt intent: answer content: quiz,navigate to garage -> greet_person yellow shirt with wearing at garage -> navigate to operator -> answer_question
intent: navigate location: balcony intent: find object: box intent: grasp intent: give recipient: me,navigate to balcony -> detect_object box -> grasp -> deliver box to me
intent: fetch object: remotes location: shelf intent: give recipient: me,navigate to shelf -> detect_object remotes at shelf -> deliver remotes to me
intent: tell location: dining area content: pose person: person,navigate to dining area -> tell pose
intent: fetch object: glass location: shelf intent: deliver recipient: me,navigate to shelf -> detect_object glass at shelf -> deliver glass to me
intent: tell location: storage room filter: wearing person: yellow blouses,navigate to storage room -> detect_person with wearing at storage room -> describe_property -> navigate to operator -> tell
intent: grasp object: notebook location: side table intent: deliver location: dining area recipient: Leo,navigate to side table -> grasp -> navigate to dining area -> deliver notebook to Leo
intent: tell location: drinks bar filter: lying,navigate to drinks bar -> detect_person with pose lying at drinks bar -> describe_property -> navigate to operator -> tell
intent: follow location: dining area filter: waving person: person,navigate to dining area -> guide_person person to dining area
intent: find object: magazines location: kitchen intent: get intent: deliver location: kitchen recipient: Olivia,navigate to kitchen -> detect_object magazines at kitchen -> grasp -> navigate to kitchen -> deliver magazines to Olivia
intent: lead location: garden filter: pointing person: person,navigate to garden -> guide_person person to garden
intent: find location: office filter: waving person: person intent: follow,navigate to office -> detect_person with pose waving at office -> guide_person
intent: tell object: mugs location: on the desk attribute: lightest,navigate to on the desk -> detect_object lightest mugs at on the desk -> describe_property -> navigate to operator -> tell
intent: take location: dining area filter: wearing person: gray blouse,navigate to dining area -> grasp
intent: look location: living room filter: waving person: person intent: escort location: study,navigate to living room -> detect_person with pose waving at living room -> navigate to study -> guide_person to study
intent: tell location: entrance filter: wearing person: blue t shirts,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: bring object: mug location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver mug to me
intent: fetch object: snack location: counter intent: give recipient: me,navigate to counter -> detect_object snack at counter -> deliver snack to me
intent: tell location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest at on the desk -> describe_property -> navigate to operator -> tell
intent: go location: shelf intent: look object: bowl intent: grasp intent: place location: on the desk,navigate to shelf -> detect_object bowl -> grasp -> navigate to on the desk -> place at on the desk
intent: introduce location: balcony filter: wearing person: white t shirt intent: tell content: day today,navigate to balcony -> introduce_person -> tell day today
intent: find location: laundry room filter: sitting person: person intent: follow,navigate to laundry room -> detect_person with pose sitting at laundry room -> guide_person
intent: tell location: balcony filter: wearing person: gray jackets,navigate to balcony -> detect_person with wearing at balcony -> describe_property -> navigate to operator -> tell
intent: tell object: remotes location: on the shelf attribute: thinnest,navigate to on the shelf -> detect_object thinnest remotes at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell object: cans location: on the counter attribute: smallest,navigate to on the counter -> detect_object smallest cans at on the counter -> describe_property -> navigate to operator -> tell
intent: say location: bedroom person: Sam intent: follow location: living room,navigate to bedroom -> greet_person Sam at bedroom -> navigate to living room -> guide_person to living room
intent: locate object: plates location: drinks bar intent: get intent: give location: drinks bar filter: left arm recipient: person,navigate to drinks bar -> detect_object plates at drinks bar -> grasp -> navigate to drinks bar -> deliver plates to person
intent: navigate location: bedroom intent: look object: plates intent: grasp intent: bring location: laundry room recipient: Maria,navigate to bedroom -> detect_object plates -> grasp -> navigate to laundry room -> deliver plates to Maria
intent: tell location: patio filter: left arm content: yourself person: person,navigate to patio -> tell yourself
intent: meet location: garage person: Ingrid intent: follow location: terrace,navigate to garage -> meet_person Ingrid at garage -> navigate to terrace -> guide_person to terrace
intent: follow location: terrace person: Maria,navigate to terrace -> guide_person Maria to terrace
intent: escort location: hallway filter: wearing person: gray shirt,navigate to hallway -> guide_person gray shirt to hallway
intent: locate object: snacks location: office intent: fetch intent: place location: on the garden table,navigate to office -> detect_object snacks at office -> navigate to on the garden table -> place at on the garden table
intent: navigate location: garden intent: meet person: Jack intent: follow,navigate to garden -> meet_person Jack -> guide_person
intent: fetch object: mugs location: desk intent: give location: study recipient: Rosa,navigate to desk -> detect_object mugs at desk -> navigate to study -> deliver mugs to Rosa
intent: follow location: dining area person: Tom,navigate to dining area -> guide_person Tom to dining area
intent: introduce location: laundry room filter: wearing person: orange sweater intent: say content: time,navigate to laundry room -> introduce_person -> greet_person
intent: tell location: laundry room filter: sitting,navigate to laundry room -> detect_person with pose sitting at laundry room -> describe_property -> navigate to operator -> tell
intent: find location: office filter: waving person: person intent: tell content: yourself,navigate to office -> detect_person with pose waving at office -> tell yourself
intent: go location: study intent: look filter: sitting person: person intent: tell content: your teams name,navigate to study -> detect_person with pose sitting -> tell your teams name
intent: escort location: closet person: Grace,navigate to closet -> guide_person Grace to closet
intent: follow location: entrance filter: lying person: person,navigate to entrance -> guide_person person to entrance
intent: navigate location: workshop intent: meet person: Charlie intent: lead location: balcony,navigate to workshop -> meet_person Charlie -> navigate to balcony -> guide_person to balcony
intent: find location: kitchen filter: sitting person: person intent: tell content: your teams name,navigate to kitchen -> detect_person with pose sitting at kitchen -> tell your teams name
intent: grasp object: notebook location: counter intent: put location: on the garden table,navigate to counter -> grasp -> navigate to on the garden table -> place at on the garden table
intent: escort location: desk person: Sam,navigate to desk -> guide_person Sam to desk
intent: tell location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest at on the side table -> describe_property -> navigate to operator -> tell
intent: give object: mug location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver mug to me
intent: introduce location: kitchen filter: wearing person: white t shirt intent: follow location: garden,navigate to kitchen -> introduce_person -> navigate to garden -> guide_person to garden
intent: navigate location: living room intent: look object: bottle intent: take intent: put location: on the counter,navigate to living room -> detect_object bottle -> grasp -> navigate to on the counter -> place at on the counter
intent: tell location: terrace filter: pointing,navigate to terrace -> detect_person with pose pointing at terrace -> describe_property -> navigate to operator -> tell
intent: follow location: entrance person: Quentin,navigate to entrance -> guide_person Quentin to entrance
intent: bring object: notebook location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver notebook to me
intent: introduce location: drinks bar person: Rosa intent: follow,navigate to drinks bar -> introduce_person -> guide_person
intent: navigate location: drinks bar intent: look object: books intent: take intent: place location: on the shelf,navigate to drinks bar -> detect_object books -> grasp -> navigate to on the shelf -> place at on the shelf
intent: navigate location: hallway intent: locate object: glasses intent: grasp intent: place location: on the shelf,navigate to hallway -> detect_object glasses -> grasp -> navigate to on the shelf -> place at on the shelf
intent: tell object: plate location: on the counter,navigate to on the counter -> count plate at on the counter -> navigate to operator -> tell
intent: tell location: closet filter: sitting,navigate to closet -> detect_person with pose sitting at closet -> describe_property -> navigate to operator -> tell
intent: tell location: entrance content: pose person: person,navigate to entrance -> tell pose
intent: tell location: drinks bar content: pose person: person,navigate to drinks bar -> tell pose
intent: go location: office intent: look object: snacks intent: get intent: give recipient: me,navigate to office -> detect_object snacks -> grasp -> deliver snacks to me
intent: take object: cans location: counter intent: deliver location: hallway recipient: Jack,navigate to counter -> grasp -> navigate to hallway -> deliver cans to Jack
intent: tell object: mug location: on the shelf,navigate to on the shelf -> count mug at on the shelf -> navigate to operator -> tell
intent: follow location: patio person: Hector,navigate to patio -> guide_person Hector to patio
intent: go location: entrance intent: locate filter: standing person: person intent: follow location: office,navigate to entrance -> detect_person with pose standing -> navigate to office -> guide_person to office
intent: give object: tray location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver tray to me
intent: give object: book location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver book to me
intent: meet location: drinks bar person: Ingrid intent: look location: garage,navigate to drinks bar -> meet_person Ingrid at drinks bar -> navigate to garage
intent: tell location: kitchen filter: lying,navigate to kitchen -> detect_person with pose lying at kitchen -> describe_property -> navigate to operator -> tell
intent: follow location: entrance person: Noah,navigate to entrance -> guide_person Noah to entrance
intent: look location: office filter: lying person: person intent: say content: your teams country,navigate to office -> detect_person with pose lying at office -> greet_person
intent: tell location: office filter: wearing person: yellow jackets,navigate to office -> detect_person with wearing at office -> describe_property -> navigate to operator -> tell
intent: tell location: terrace filter: waving content: day today person: person,navigate to terrace -> tell day today
intent: locate location: kitchen filter: left arm person: person intent: follow,navigate to kitchen -> detect_person with left arm at kitchen -> guide_person
intent: go location: workshop intent: meet person: Quentin intent: lead location: garden,navigate to workshop -> meet_person Quentin -> navigate to garden -> guide_person to garden
intent: bring object: phone location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver phone to me
intent: escort location: living room filter: wearing person: orange t shirt,navigate to living room -> guide_person orange t shirt to living room
intent: tell object: snacks location: on the shelf attribute: thinnest,navigate to on the shelf -> detect_object thinnest snacks at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: on the garden table attribute: thinnest,navigate to on the garden table -> detect_object thinnest at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell object: glass location: on the desk,navigate to on the desk -> count glass at on the desk -> navigate to operator -> tell
intent: tell object: plate location: on the counter,navigate to on the counter -> count plate at on the counter -> navigate to operator -> tell
intent: tell object: books location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest books at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest at on the garden table -> describe_property -> navigate to operator -> tell
intent: take location: drinks bar filter: wearing person: gray blouse,navigate to drinks bar -> grasp
intent: tell object: plates location: on the garden table attribute: heaviest,navigate to on the garden table -> detect_object heaviest plates at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell object: glass location: on the garden table,navigate to on the garden table -> count glass at on the garden table -> navigate to operator -> tell
intent: lead location: hallway filter: wearing person: white coat,navigate to hallway -> guide_person white coat to hallway
intent: tell object: toys location: on the garden table attribute: smallest,navigate to on the garden table -> detect_object smallest toys at on the garden table -> describe_property -> navigate to operator -> tell
intent: escort location: closet filter: standing person: person,navigate to closet -> guide_person person to closet
intent: guide location: hallway filter: sitting person: person,navigate to hallway -> guide_person person to hallway
intent: take location: entrance filter: right arm person: person,navigate to entrance -> grasp
intent: tell object: remotes location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest remotes at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest at on the side table -> describe_property -> navigate to operator -> tell
intent: give object: can location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver can to me
intent: tell location: bedroom content: gesture person: person,navigate to bedroom -> tell gesture
intent: tell object: magazines location: on the desk attribute: thinnest,navigate to on the desk -> detect_object thinnest magazines at on the desk -> describe_property -> navigate to operator -> tell
intent: meet location: bedroom person: Grace intent: find location: garage,navigate to bedroom -> meet_person Grace at bedroom -> navigate to garage
intent: tell location: office filter: wearing person: black jackets,navigate to office -> detect_person with wearing at office -> describe_property -> navigate to operator -> tell
intent: tell object: magazine location: on the garden table,navigate to on the garden table -> count magazine at on the garden table -> navigate to operator -> tell
intent: guide location: laundry room filter: left arm person: person,navigate to laundry room -> guide_person person to laundry room
intent: go location: laundry room intent: locate object: cup intent: get intent: deliver recipient: me,navigate to laundry room -> detect_object cup -> grasp -> deliver cup to me
intent: tell object: mugs location: on the counter attribute: smallest,navigate to on the counter -> detect_object smallest mugs at on the counter -> describe_property -> navigate to operator -> tell
intent: introduce location: garage filter: wearing person: white coat intent: answer content: quiz,navigate to garage -> introduce_person -> navigate to operator -> answer_question
intent: answer location: hallway filter: right arm content: quiz person: person,navigate to hallway -> detect_person with right arm at hallway -> navigate to operator -> answer_question
intent: go location: counter intent: locate filter: waving person: person intent: tell content: your teams country,navigate to counter -> detect_person with pose waving -> tell your teams country
intent: bring object: bottle location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver bottle to me
intent: tell location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest at on the desk -> describe_property -> navigate to operator -> tell
intent: grasp object: glasses location: shelf intent: give recipient: me,navigate to shelf -> grasp -> deliver glasses to me
intent: tell location: garage filter: left arm,navigate to garage -> detect_person with left arm at garage -> describe_property -> navigate to operator -> tell
intent: tell location: on the desk attribute: lightest,navigate to on the desk -> detect_object lightest at on the desk -> describe_property -> navigate to operator -> tell
intent: locate object: snack location: bathroom intent: get intent: deliver location: bathroom recipient: Charlie,navigate to bathroom -> detect_object snack at bathroom -> grasp -> navigate to bathroom -> deliver snack to Charlie
intent: tell location: kitchen filter: wearing person: blue shirts,navigate to kitchen -> detect_person with wearing at kitchen -> describe_property -> navigate to operator -> tell
intent: meet location: laundry room person: Hector intent: follow location: garage,navigate to laundry room -> meet_person Hector at laundry room -> navigate to garage -> guide_person to garage
intent: follow location: storage room person: Frank,navigate to storage room -> guide_person Frank to storage room
intent: bring object: mug location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver mug to me
intent: tell location: on the shelf attribute: smallest,navigate to on the shelf -> detect_object smallest at on the shelf -> describe_property -> navigate to operator -> tell
intent: say location: study filter: pointing content: your teams country person: person,navigate to study -> greet_person person with pointing at study
intent: greet location: garden filter: wearing person: orange jacket intent: follow,navigate to garden -> greet_person orange jacket with wearing at garden -> guide_person
intent: escort location: living room filter: sitting person: person,navigate to living room -> guide_person person to living room
intent: tell location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest at on the shelf -> describe_property -> navigate to operator -> tell
intent: follow location: balcony person: Leo,navigate to balcony -> guide_person Leo to balcony
intent: take object: toys location: shelf intent: place location: on the desk,navigate to shelf -> grasp -> navigate to on the desk -> place at on the desk
intent: tell location: closet filter: right arm content: your teams country person: person,navigate to closet -> tell your teams country
intent: guide location: garden filter: pointing person: person,navigate to garden -> guide_person person to garden
intent: go location: dining area intent: find object: magazines intent: grasp intent: place location: on the side table,navigate to dining area -> detect_object magazines -> grasp -> navigate to on the side table -> place at on the side table
intent: tell location: kitchen content: pose person: person,navigate to kitchen -> tell pose
intent: tell object: remotes location: on the garden table attribute: heaviest,navigate to on the garden table -> detect_object heaviest remotes at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell location: closet content: pose person: person,navigate to closet -> tell pose
intent: tell location: on the side table attribute: heaviest,navigate to on the side table -> detect_object heaviest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell object: can location: on the counter,navigate to on the counter -> count can at on the counter -> navigate to operator -> tell
intent: tell object: books location: on the counter attribute: largest,navigate to on the counter -> detect_object largest books at on the counter -> describe_property -> navigate to operator -> tell
intent: tell object: bottle location: on the desk,navigate to on the desk -> count bottle at on the desk -> navigate to operator -> tell
intent: find object: plates location: garden intent: get intent: deliver location: garden filter: right arm recipient: person,navigate to garden -> detect_object plates at garden -> grasp -> navigate to garden -> deliver plates to person
intent: guide location: side table filter: pointing person: person,navigate to side table -> guide_person person to side table
intent: locate location: garden filter: right arm person: person intent: follow,navigate to garden -> detect_person with right arm at garden -> guide_person
intent: salute location: workshop person: Alice intent: follow,navigate to workshop -> greet_person Alice at workshop -> guide_person
intent: tell object: remotes location: on the counter attribute: heaviest,navigate to on the counter -> detect_object heaviest remotes at on the counter -> describe_property -> navigate to operator -> tell
intent: lead location: garden filter: wearing person: red shirt,navigate to garden -> guide_person red shirt to garden
intent: find object: bottles location: patio intent: take intent: deliver recipient: me,navigate to patio -> detect_object bottles at patio -> grasp -> deliver bottles to me
intent: meet location: garden person: Rosa intent: tell content: day,navigate to garden -> meet_person Rosa at garden -> tell day
intent: find object: tray location: balcony intent: get intent: deliver location: balcony filter: left arm recipient: person,navigate to balcony -> detect_object tray at balcony -> grasp -> navigate to balcony -> deliver tray to person
intent: tell location: closet filter: lying,navigate to closet -> detect_person with pose lying at closet -> describe_property -> navigate to operator -> tell
intent: give object: magazine location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver magazine to me
intent: tell location: on the desk attribute: heaviest,navigate to on the desk -> detect_object heaviest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: closet filter: wearing person: red shirts,navigate to closet -> detect_person with wearing at closet -> describe_property -> navigate to operator -> tell
intent: tell location: patio content: name person: person,navigate to patio -> tell name
intent: give object: tablet location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver tablet to me
intent: tell location: garage filter: wearing person: black blouses,navigate to garage -> detect_person with wearing at garage -> describe_property -> navigate to operator -> tell
intent: take location: entrance filter: wearing person: red coat,navigate to entrance -> grasp
intent: fetch object: plates location: shelf intent: put location: on the desk,navigate to shelf -> detect_object plates at shelf -> navigate to on the desk -> place at on the desk
intent: tell location: on the counter attribute: largest,navigate to on the counter -> detect_object largest at on the counter -> describe_property -> navigate to operator -> tell
intent: grasp object: plates location: counter intent: deliver location: terrace filter: lying recipient: person,navigate to counter -> grasp -> navigate to terrace -> deliver plates to person
intent: go location: garage intent: meet person: Rosa intent: tell content: your teams country,navigate to garage -> meet_person Rosa -> tell your teams country
intent: tell object: toys location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest toys at on the desk -> describe_property -> navigate to operator -> tell
intent: locate object: cups location: office intent: get intent: bring location: office filter: pointing recipient: person,navigate to office -> detect_object cups at office -> grasp -> navigate to office -> deliver cups to person
intent: lead location: office filter: wearing person: red jacket,navigate to office -> guide_person red jacket to office
intent: tell location: study filter: standing,navigate to study -> detect_person with pose standing at study -> describe_property -> navigate to operator -> tell
intent: introduce location: closet person: Leo intent: follow,navigate to closet -> introduce_person -> guide_person
intent: take location: laundry room person: Jack,navigate to laundry room -> grasp
intent: follow location: garage filter: sitting person: person,navigate to garage -> guide_person person to garage
intent: give object: phone location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver phone to me
intent: guide location: entrance person: Bob,navigate to entrance -> guide_person Bob to entrance
intent: go location: side table intent: locate filter: waving person: person intent: say content: day,navigate to side table -> detect_person with pose waving -> greet_person
intent: tell location: garden filter: sitting,navigate to garden -> detect_person with pose sitting at garden -> describe_property -> navigate to operator -> tell
intent: tell location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest at on the counter -> describe_property -> navigate to operator -> tell
intent: tell object: magazine location: on the garden table,navigate to on the garden table -> count magazine at on the garden table -> navigate to operator -> tell
intent: tell location: balcony content: pose person: person,navigate to balcony -> tell pose
intent: tell location: bathroom content: gesture person: person,navigate to bathroom -> tell gesture
